"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2012","LAA","89","73","38","606","162","1433.1","7.26","3.03","1.17",".277","72.6%","43.9%","12.1%","","4.02","4.26","4.15","10.4"
"2006","CHC","66","96","29","704","162","1439.0","7.82","4.30","1.31",".286","70.9%","41.6%","12.8%","","4.74","4.88","4.58","10.4"
"2009","NYM","70","92","39","673","162","1426.0","6.51","3.89","1.00",".292","71.8%","42.5%","9.1%","","4.46","4.50","4.66","10.4"
"2008","PIT","67","95","34","659","162","1455.0","5.96","4.06","1.09",".311","69.5%","44.0%","10.8%","","5.10","4.84","4.74","10.3"
"2015","PHI","63","99","35","665","162","1436.1","7.22","3.06","1.20",".316","71.1%","44.0%","12.2%","88.8","4.69","4.40","4.29","10.3"
"2016","ARI","69","93","31","737","162","1451.1","8.17","3.74","1.25",".320","68.7%","46.0%","14.1%","89.0","5.09","4.50","4.34","10.1"
"2013","LAA","78","84","41","658","162","1457.2","7.41","3.29","1.03",".300","72.3%","42.1%","10.4%","","4.24","4.08","4.10","10.1"
"2018","DET","64","98","37","704","162","1425.1","7.67","3.10","1.36",".291","70.5%","39.6%","12.9%","88.5","4.60","4.59","4.55","10.0"
"2007","PHI","89","73","42","660","162","1458.1","6.48","3.44","1.22",".301","71.5%","43.5%","11.9%","","4.76","4.86","4.52","9.9"
"2009","CLE","65","97","25","607","162","1434.0","6.19","3.75","1.15",".305","68.9%","43.1%","10.3%","","5.07","4.73","4.69","9.9"
"2015","MIL","68","94","40","658","162","1435.0","7.90","3.24","1.10",".303","72.1%","46.1%","12.7%","87.9","4.28","4.17","4.00","9.9"
"2014","HOU","70","92","31","600","162","1438.2","7.11","3.03","0.87",".299","70.3%","46.4%","9.6%","","4.14","3.93","3.91","9.9"
"2007","STL","78","84","34","678","162","1435.2","5.92","3.19","1.05",".293","68.1%","43.5%","9.6%","","4.67","4.66","4.67","9.8"
"2010","BAL","66","96","35","616","162","1436.1","6.31","3.26","1.17",".294","71.3%","42.1%","10.2%","","4.59","4.57","4.44","9.8"
"2018","CHW","62","100","34","715","162","1437.0","7.89","4.09","1.23",".292","69.4%","40.8%","11.7%","88.6","4.85","4.73","4.88","9.8"
"2015","SDP","74","88","41","678","162","1440.1","8.70","3.22","1.07",".303","71.1%","46.9%","13.3%","88.3","4.09","3.93","3.71","9.7"
