"Season","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2018","MIL","6210","8.6%","23.5%","0.37",".252",".323",".424",".747",".172","4.9",".302","2.9","-2.9","8.2","760","34.4",".322","100"
"2008","HOU","6051","7.4%","17.4%","0.43",".263",".323",".415",".737",".152","4.4",".296","4.2","-0.8","-3.0","695","-33.4",".322","93"
"2008","TOR","6191","8.4%","15.2%","0.56",".264",".331",".399",".731",".135","4.4",".295","-7.3","-4.1","0.5","711","-34.6",".322","94"
"2015","LAD","6090","9.2%","20.7%","0.45",".250",".326",".413",".739",".163","3.8",".292","-10.2","-0.7","-4.4","722","37.5",".322","106"
"2007","PIT","6214","7.5%","18.3%","0.41",".263",".325",".411",".736",".149","4.2",".303","-4.4","-1.9","-4.1","715","-52.9",".322","90"
"2011","CIN","6329","8.5%","19.8%","0.43",".256",".326",".408",".734",".152","4.1",".297","10.2","4.3","-5.8","735","24.2",".322","99"
"2010","STL","6241","8.7%","16.5%","0.53",".263",".332",".402",".733",".139","4.0",".296","7.2","0.0","-5.4","720","2.8",".322","99"
"2017","NYM","6169","8.6%","20.9%","0.41",".250",".320",".434",".755",".184","4.0",".286","-10.4","0.8","-1.7","753","1.4",".322","101"
"2016","WSN","6201","8.6%","20.2%","0.43",".256",".326",".426",".751",".170","4.9",".293","5.8","5.2","5.0","744","13.7",".322","96"
"2011","ARI","6096","8.7%","20.5%","0.43",".250",".322",".413",".736",".163","5.1",".294","0.3","8.8","-0.1","710","25.4",".322","97"
"2006","HOU","6326","9.2%","17.0%","0.54",".255",".332",".409",".741",".154","4.2",".286","5.3","2.6","-2.2","734","-60.1",".322","90"
"2012","CHW","6111","7.5%","19.7%","0.38",".255",".318",".422",".740",".167","4.7",".289","-4.7","-0.5","-1.8","728","31.1",".322","98"
"2016","ARI","6260","7.4%","22.8%","0.32",".261",".320",".432",".752",".171","5.9",".315","8.4","-2.2","11.5","751","13.8",".321","93"
"2008","LAD","6194","8.8%","16.7%","0.53",".264",".333",".399",".732",".134","4.7",".301","9.1","-6.9","2.9","705","-40.9",".321","93"
"2017","TEX","6122","8.9%","24.4%","0.36",".244",".320",".430",".750",".186","4.6",".291","3.4","2.5","0.4","747","1.1",".321","90"
"2017","MIL","6135","8.9%","25.6%","0.35",".249",".322",".429",".751",".180","4.8",".308","-1.5","-0.8","4.7","745","-2.8",".321","94"
"2015","BOS","6237","7.7%","18.4%","0.42",".265",".325",".415",".740",".149","4.3",".305","0.7","0.0","0.7","740","38.7",".321","99"
"2015","COL","6071","6.4%","21.1%","0.30",".265",".315",".432",".748",".167","5.1",".313","5.8","-1.0","-0.1","717","34.6",".321","87"
"2017","SEA","6166","7.9%","20.5%","0.38",".259",".325",".424",".749",".165","4.2",".300","-10.7","-1.2","-0.7","751","-0.2",".321","103"
"2017","DET","6150","8.2%","21.3%","0.38",".258",".324",".424",".748",".166","4.3",".306","-12.7","-2.0","-5.1","749","-0.2",".321","98"
"2014","LAA","6284","7.8%","20.1%","0.39",".259",".322",".406",".728",".147","4.4",".305","0.1","5.3","-4.1","726","50.9",".321","110"
"2018","CHC","6369","9.0%","21.8%","0.41",".258",".333",".410",".744",".152","4.3",".313","3.5","4.8","-6.1","772","27.2",".321","100"
"2019","TBR","6285","8.6%","23.8%","0.36",".254",".325",".431",".757",".178","4.5",".306","4.3","4.6","-0.5","795","3.9",".321","103"
"2015","TEX","6187","8.1%","19.9%","0.41",".257",".325",".413",".739",".156","4.7",".300","10.9","8.7","2.0","732","35.7",".321","98"
"2009","OAK","6247","8.4%","16.7%","0.50",".262",".328",".397",".726",".135","4.7",".298","8.2","2.2","2.4","705","-43.6",".320","94"
"2009","NYM","6159","8.5%","15.1%","0.57",".270",".335",".394",".729",".124","5.1",".307","-1.2","-6.1","1.9","691","-46.8",".320","94"
"2013","TOR","6152","8.3%","18.3%","0.45",".252",".318",".411",".729",".158","4.4",".284","5.0","-2.8","1.6","704","29.6",".320","99"
"2007","ARI","6101","8.7%","18.2%","0.48",".250",".321",".413",".734",".163","5.1",".282","1.4","0.5","6.9","692","-62.1",".320","82"
"2006","CHC","6147","6.4%","15.1%","0.43",".268",".319",".422",".741",".154","5.0",".294","2.4","-4.0","0.6","705","-66.8",".320","84"
"2011","BAL","6156","7.3%","18.2%","0.40",".257",".316",".413",".729",".156","3.9",".288","-2.4","-10.0","1.1","709","17.6",".320","96"
"2010","SFG","6143","7.9%","17.9%","0.44",".257",".321",".408",".729",".151","3.9",".293","-1.3","-10.8","-6.2","692","-13.8",".320","98"
"2006","SFG","6136","8.1%","14.5%","0.55",".259",".324",".422",".746",".163","4.7",".282","-11.0","-3.4","-1.4","706","-64.0",".320","88"
"2007","SDP","6326","8.8%","19.4%","0.45",".251",".322",".411",".732",".160","4.0",".291","2.9","4.5","-4.1","717","-64.8",".320","96"
"2011","TBR","6152","9.3%","19.4%","0.48",".244",".322",".402",".724",".159","5.2",".281","2.9","6.2","1.3","707","16.1",".319","103"
"2011","NYM","6335","9.0%","17.1%","0.53",".264",".335",".391",".725",".127","5.1",".307","1.2","3.5","6.4","723","11.0",".319","102"
"2019","ARI","6315","8.6%","21.5%","0.40",".252",".323",".434",".757",".182","5.1",".293","11.4","-1.5","8.4","787","-8.2",".319","93"
"2011","TOR","6210","8.5%","19.1%","0.44",".249",".317",".413",".730",".164","5.1",".283","8.5","3.0","0.6","714","16.6",".319","97"
"2019","CLE","6124","9.2%","21.8%","0.42",".250",".323",".432",".756",".183","4.5",".289","2.8","-0.8","2.3","765","-5.3",".319","95"
"2015","ARI","6276","7.8%","20.9%","0.37",".264",".324",".414",".738",".150","5.3",".316","11.2","-4.9","6.2","732","26.0",".319","95"
"2018","ATL","6251","8.2%","20.6%","0.40",".257",".324",".417",".742",".161","4.5",".302","11.0","1.8","-0.2","747","16.9",".319","97"
"2008","CIN","6188","9.0%","18.2%","0.50",".247",".321",".408",".729",".161","3.9",".278","2.6","5.2","-6.7","691","-53.6",".319","87"
"2018","TOR","6076","8.2%","22.8%","0.36",".244",".312",".427",".739",".183","3.5",".286","-19.3","-1.8","-6.0","729","19.3",".319","101"
"2016","PIT","6261","9.0%","21.3%","0.42",".257",".332",".402",".734",".144","4.6",".311","-8.3","1.6","0.0","736","-2.2",".318","97"
"2010","FLA","6194","8.3%","22.2%","0.37",".254",".321",".403",".724",".149","4.9",".309","14.5","4.5","3.5","694","-17.9",".318","92"
